f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
9.000000000000000000e+01	1.907894546118707876e+04	7.932665540453545105e-01	1.072220322699195640e+04
9.100000000000000000e+01	1.861333434441790814e+04	7.740359286749760592e-01	1.020435343333736273e+04
9.200000000000000000e+01	1.816993244239510022e+04	7.557130081685820011e-01	9.723261627598991254e+03
9.300000000000000000e+01	1.774718652952491175e+04	7.382351810780768409e-01	9.275631549542034918e+03
9.400000000000000000e+01	1.734368477592397903e+04	7.215454498450749599e-01	8.858437118237909090e+03
9.500000000000000000e+01	1.695814122044630130e+04	7.055918170308890236e-01	8.468953817594690918e+03
9.600000000000000000e+01	1.658938185269139285e+04	6.903267500910575949e-01	8.104739200844560401e+03
9.700000000000000000e+01	1.623633285644708667e+04	6.757067133494013556e-01	7.763625642568490548e+03
9.800000000000000000e+01	1.589801009939591677e+04	6.616917574706706606e-01	7.443677585105532671e+03
9.900000000000000000e+01	1.557350994133770109e+04	6.482451584070902939e-01	7.143161954199857973e+03
1.000000000000000000e+02	1.526200122830720647e+04	6.353330990235647180e-01	6.860526757602754515e+03
1.020000000000000000e+02	1.467495391082432070e+04	6.109902084703991987e-01	6.343426783538437121e+03
1.030000000000000000e+02	1.439805520863815582e+04	5.995039002422276608e-01	6.106554099899930407e+03
1.040000000000000000e+02	1.413141726608839963e+04	5.884407587018256613e-01	5.882721668444289207e+03
1.050000000000000000e+02	1.387447935008489185e+04	5.777778606627821389e-01	5.670980632789449373e+03
1.060000000000000000e+02	1.362672090144720096e+04	5.674939065982058661e-01	5.470475044824076576e+03
1.070000000000000000e+02	1.338765797419752744e+04	5.575690796062280352e-01	5.280423399855818388e+03
1.080000000000000000e+02	1.315684005972574960e+04	5.479849188048625530e-01	5.100108709993494813e+03
1.090000000000000000e+02	1.293384727268801726e+04	5.387242054720365880e-01	4.928877703257247958e+03
1.100000000000000000e+02	1.271828778200395936e+04	5.297708604442733504e-01	4.766128866819474752e+03
1.120000000000000000e+02	1.230802798348493161e+04	5.127271096547321161e-01	4.463913271560941212e+03
1.130000000000000000e+02	1.211266463393095182e+04	5.046094532800170507e-01	4.323473290234843262e+03
1.140000000000000000e+02	1.192340487967555782e+04	4.967445193517451285e-01	4.189557612463535406e+03
1.150000000000000000e+02	1.173996670073607311e+04	4.891207009403969463e-01	4.061767435746292449e+03
1.160000000000000000e+02	1.156208520188433067e+04	4.817270903479237143e-01	3.939735957300286827e+03
1.170000000000000000e+02	1.138951132535285433e+04	4.745534272921819174e-01	3.823120965565733513e+03
1.190000000000000000e+02	1.105936254421556623e+04	4.608278601669137386e-01	3.604902077385856501e+03
1.200000000000000000e+02	1.090135874221028098e+04	4.542582671088352675e-01	3.502731982145059192e+03
1.210000000000000000e+02	1.074780289606853876e+04	4.478731678737620236e-01	3.404843219119882178e+03
1.220000000000000000e+02	1.059850955383347718e+04	4.416649058744847034e-01	3.311000941977734328e+03
1.230000000000000000e+02	1.045330342720400404e+04	4.356262420068453545e-01	3.220984529015439875e+03
